Fecha;Mes;Año;Ventas;Álava;Albacete;Alicante;Almería;Ávila;Badajoz;Balears;Barcelona;Burgos;Cáceres;Cádiz;Castellón;Ciudad Real;Córdoba;Coruña;Cuenca;Girona;Granada;Guadalajara;Guipúzcoa;Huelva;Huesca;Jaén;León;Lleida;Rioja (La);Lugo;Madrid;Málaga;Murcia;Navarra;Ourense;Asturias;Palencia;Pontevedra;Salamanca;Cantabria;Segovia;Sevilla;Soria;Tarragona;Teruel;Toledo;Valencia;Valladolid;Vizcaya;Zamora;Zaragoza;Ceuta;Melilla
01/01/2013;1;2013;202371468;1382405;1892888;8977432;3348977;739817;3204705;5121787;24121494;1937833;1889682;3043104;2486790;2285962;3013316;5120014;1011700;5950016;4136936;1070213;4614627;2299175;1226375;2959486;2303515;2572678;1598483;1524584;28493632;5699952;7333985;3987875;1568872;5599705;848614;3689096;1637274;2804718;673382;6185483;408730;3668885;616199;3104443;11946429;2473038;5212879;886906;4824186;451776;421415
01/02/2013;2;2013;162786803;997075;1417429;7429656;2621615;575974;2743718;4099628;18966380;1180141;1667345;2535068;1965906;2010602;2293259;4194211;730011;5777983;3342299;940517;3666752;1779845;970448;2347983;1787909;2163205;1061502;1168643;24039315;4615859;5789190;3469158;1102411;4163235;602414;3111812;1087727;2230094;537416;4769017;288881;2618457;484729;2628834;9867609;1749442;4268367;613615;3662865;387486;263766
01/03/2013;3;2013;180822109;1006504;1678784;9480914;3067251;690445;2938294;4637585;20985959;1327280;1814907;2667581;2556515;2178430;2815062;4084376;914541;7018997;3759140;938084;4377680;2093192;1168078;2726702;1910890;2733539;1235916;1238112;24098143;5507254;6615741;3628527;1125253;4506020;627195;3112718;1210259;2477734;560010;5440896;348826;3325046;544362;2703353;11601365;1817561;4244640;707596;3834959;441076;298817
01/04/2013;4;2013;197087313;1320816;1721949;9535035;3305837;733651;3236650;6437172;21458866;1449549;1971685;2791470;2331420;2338875;2742236;4959650;921082;8026100;3918164;1036536;4994496;2319725;1208068;2784434;2079609;2577178;1387107;1383939;27772047;5936348;7058996;4347034;1350855;5075809;736093;3724776;1329867;2753905;598920;5916323;375029;3317319;634291;2971069;10941842;2149974;4984735;761785;4567443;436883;374671
01/05/2013;5;2013;233796351;1756647;1845978;11975003;3698202;830567;3730316;9877391;25861473;1970297;2386742;3084344;2760351;2707572;3340565;5307172;1131614;10539827;4597061;1141205;6189103;2692722;1243669;3322998;2487948;3434549;1609825;1589004;30665831;7615963;7872441;5911076;1464817;5495104;993558;3957562;1944465;2888305;754821;6348695;455680;4422528;659992;3500658;12296754;2837508;5714470;936025;5019771;489732;438450
01/06/2013;6;2013;191912479;1181266;1726569;9926788;3273606;727668;2917287;9374569;20633813;1466810;1859794;2900902;2484469;2167860;2652559;4461496;972215;8266928;3738844;1039890;4047427;2355548;1138401;2614068;2102207;1850900;1283674;1313481;25729276;5943436;6700579;3947166;1300037;4754738;761227;3420994;1247116;2572569;582409;5290971;446169;3837891;665497;2777275;10946434;2009994;4624055;762269;4295329;453115;364894
01/07/2013;7;2013;235577108;1426079;1952587;12468939;3870067;1025174;3591357;10988614;25412995;2077665;2319300;3863772;3340375;2714565;3025409;5688928;1256593;12472816;4479597;1275830;5802866;2943555;1688526;3349423;2715267;2839616;1641547;1699155;27895123;7205489;8086137;4860008;1642348;5971487;913410;4397916;1620187;3544124;845326;5620638;495307;5351599;767132;3380587;12799465;2378823;5155746;935592;4820074;534835;425138
01/08/2013;8;2013;223221646;953267;1936913;11998982;4067028;1152001;3551301;10455285;20589790;1599205;2407479;4058310;3465048;2688017;2723295;5372869;1313428;16916317;4364304;1263780;6126113;2937123;1852816;2981500;2646854;2772479;1482452;1621534;22446220;7495009;7564091;5325106;1550073;5536478;882770;4284112;1624385;3478001;863558;4794942;550900;5582511;854575;3257026;11596707;2117407;4069460;1028285;4195634;505421;321485
01/09/2013;9;2013;202414192;1221005;1865971;11135435;3504530;814790;3363434;10131668;20939347;1554935;2044117;2954626;2629184;2578811;2883235;4858958;1053039;7546310;4014726;1158920;4292893;2243177;1153350;3029693;2164973;2401590;1355989;1413639;27340733;6506555;7069482;4012923;1334781;5056503;725525;3614004;1423339;2675704;669493;5612819;351390;3948051;666719;3066279;11160998;2164844;4666284;856141;4340571;432036;410673
01/10/2013;10;2013;200434139;1379615;1825156;10215720;3295800;777249;3137567;7113019;22689825;1576293;1947916;2650467;2427044;2423635;2684269;4867342;1017024;7444586;3863590;1082172;4662703;2162531;1291181;2829431;2196793;2492889;1468366;1472765;27536475;6381757;7359498;4328319;1382271;5157232;748554;3566958;1361542;2816890;652036;5698616;417980;3580827;647921;3025531;10925625;2261902;5129118;809053;4807955;474775;368356
01/11/2013;11;2013;173253839;1194276;1556786;8297301;2912209;646557;2883563;4482848;19828416;1471613;1918445;2345723;2197346;2248672;2455938;4448841;902084;5991768;3470155;920479;3944094;1922207;1076618;2580041;1940138;2196272;1274922;1266814;24587973;4869015;6198313;3503280;1254116;4625056;668233;3232944;1349559;2402178;529026;5045235;399757;3097583;566320;2605827;9857397;2049196;4462563;739872;4103966;405750;326554
01/12/2013;12;2013;181591178;1332674;1708135;7846316;3113298;722561;3146618;4204283;20248461;1665144;1800620;2563176;2274058;2256962;2716901;4629875;967955;6774246;3722796;972558;4145483;2134481;1060314;2998025;2162677;2707093;1309534;1366613;25395022;4896766;6543683;4129139;1300263;4826612;762380;3428900;1397043;2557573;591588;5231799;397466;2954199;580714;2852042;10531791;2208673;4736799;778564;4111025;460703;367577
01/01/2014;1;2014;188023567;1323352;1705373;8602326;3099846;660324;3015316;4604359;22056865;1493379;1871518;2533996;2388859;2326110;2768750;4774077;952226;6625384;3877431;1037699;4400221;2103994;1132462;3073434;2090651;2454733;1357352;1401746;27228930;5119488;6788854;3607688;1373599;4955461;694918;3527482;1289387;2537996;568353;5353637;372821;3187278;567045;2840446;11120126;2312096;4987818;756552;4330108;424478;347223
01/02/2014;2;2014;156808432;1106483;1407170;7295856;2503934;571418;2535123;4040176;18001577;1194772;1555946;2134918;1992940;1893454;2228947;3847214;779601;5558656;3128060;890108;3733327;1639113;1035652;2403656;1734361;2397709;1088813;1145356;22783508;4321833;5565393;3392598;1094593;4166201;593923;2820203;1059757;2194333;513868;4225044;297406;2613478;530378;2364644;9569226;1756565;4123550;574659;3739749;376070;287113
01/03/2014;3;2014;181318270;1217297;1564134;8758525;3067377;674029;2843147;4896775;20663637;1382695;1771781;2526161;2273143;2182045;2768908;4425123;868907;6675322;3810565;976413;4235272;2121414;1129562;3016209;1978610;2288132;1305057;1337871;25498314;5339343;6308458;3922085;1233491;4614844;707408;3322314;1253607;2433250;559788;5209059;354237;3163852;520674;2694811;11290080;1924958;4589165;733557;4152709;418221;315934
01/04/2014;4;2014;194093216;1179311;1711077;9932962;3180513;810457;3239279;6395714;21153872;1532710;2054619;2737085;2528879;2409430;2850017;4601359;1024884;8410972;3840688;1089791;4543668;2218497;1165527;2954046;2104410;2482587;1426769;1325225;26085517;5816776;7106892;4177508;1270583;4879440;754541;3403746;1339380;2813800;666789;5579127;393450;3665155;627090;3037535;10865909;2163491;4539789;800611;4342514;475709;383516
01/05/2014;5;2014;205476194;1231036;1779967;10542013;3450664;683279;3197525;9121944;22760855;1626296;2094316;2822575;2472662;2385296;3015996;4818999;1013011;9280834;4153070;1075811;4757236;2385424;1214929;3063465;2130551;2454753;1377656;1390194;27286919;6794273;7133449;4518654;1324237;4906875;725482;3601036;1332598;2619151;615630;5524876;401329;3941361;631708;3037581;11575451;2243077;4836129;801117;4549896;435755;339253
01/06/2014;6;2014;215585503;1454513;1861876;11099614;3373204;810749;3200113;10844773;22851981;1838726;2042951;3265623;2834802;2440971;2874853;4943228;1104442;9392752;4112465;1113537;5152799;2534374;1165940;3086112;2306043;2640711;1449079;1523056;28538375;6853119;7118467;4584530;1391817;5346137;942209;3671506;1661548;2790055;722752;5731525;457274;4432747;695511;3272977;11886450;2396996;5127279;837109;4967320;471760;368753
01/07/2014;7;2014;228344647;1400368;1988204;11760401;3900673;987368;3539248;10417963;24897374;1788077;2296513;3891799;3201088;2665209;2902708;5423769;1180159;12871313;4298643;1254254;5408035;2853911;1619433;3132190;2424579;2836634;1609653;1560576;26630838;7748206;7974808;4892988;1492330;5405313;803834;4140874;1496826;3453821;721143;5558554;472343;5002297;766066;3310912;12879220;2301361;4964420;950205;4445769;462208;360169
01/08/2014;8;2014;213018133;954040;1894002;11898115;3856905;1098108;3279100;10284201;19456046;1706096;2340854;3826261;3364358;2578554;2606991;5229376;1266472;15452726;4115660;1169287;5593425;2766734;1603863;2942435;2482470;2683754;1427380;1585087;21269833;7504015;7103178;5013254;1521699;5225226;842840;4205457;1610045;3183878;852378;4445247;491219;5458407;784733;3133390;11106119;2130510;3832824;977889;3930475;532512;400705
01/09/2014;9;2014;207301377;1325829;2017803;10775399;3502210;800669;3279101;10506089;22013150;1522050;2006609;3042320;2676433;2507029;2798238;4939269;1037252;8285023;4089708;1160658;4718534;2297680;1254797;2896966;2152307;2376882;1484561;1434975;27228518;7056898;7154256;4024780;1364371;5083749;745199;3772970;1384021;2871674;648956;5623010;392954;4104116;674202;3066115;11729760;2179478;4888829;813672;4769081;441218;382009
01/10/2014;10;2014;198818843;1340624;1761008;10455334;3305866;739618;3091267;7005416;23139798;1540319;1876555;2715524;2433873;2284786;2791195;4929794;1036952;7160298;3946082;1008173;4493154;2166399;1254670;2851726;2141971;2709032;1429937;1459016;26886224;6696019;6977767;4114900;1394847;5029554;775160;3656861;1350837;2771118;648767;5613392;414436;3613704;633565;2752506;11084508;2126674;5036420;800891;4483771;503554;384981
01/11/2014;11;2014;168631721;1119088;1512011;7994572;2770460;631291;2734105;4322974;19308420;1443331;1753196;2357466;2189370;2050534;2370824;4195302;827388;6092732;3437379;963170;3752869;1889185;1002734;2504678;1900425;2283586;1263018;1246796;23845592;4948321;5899731;3467882;1174830;4340371;648578;3235256;1196559;2337782;556770;4911209;373785;2906369;531371;2547338;10013024;2008937;4315845;704009;4012827;409976;328455
01/12/2014;12;2014;192248424;1343396;1724501;8485958;3315668;703017;3219890;4630851;21629153;1599567;2010679;2829313;2537007;2447242;2910209;4867684;991822;6928541;4069515;1015571;4505924;2191245;1124390;3072735;2146067;2702801;1417280;1407327;26893365;5505928;7025511;4060527;1401142;4995111;776073;3641589;1426415;2721929;605751;5594481;395604;3153822;611180;3083055;11170909;2120134;5100047;755539;4512380;497888;372691
01/01/2015;1;2015;181376955;1400965;1689282;8445966;3001933;679378;2932789;4354250;21061644;1632269;1775352;2573429;2335801;2142922;2653175;4665562;935136;5617464;3855759;990146;3961557;2017490;1079154;2888072;2065893;2159912;1332879;1410837;25732724;5382655;6516671;3704426;1302006;4719750;812312;3464317;1444075;2500882;581850;5159172;346423;3313577;597389;2731604;10884906;2192707;4665826;757990;4099048;442018;365611
