Fecha;Pernoctaciones (INE)
enero-13;11887105
febrero-13;13104722
marzo-13;18815829
abril-13;19135958
mayo-13;26359256
junio-13;30808604
julio-13;37670863
agosto-13;41900828
septiembre-13;32647844
octubre-13;25015770
noviembre-13;15087587
diciembre-13;13595795
enero-14;12807505
febrero-14;13875208
marzo-14;18129451
abril-14;22298622
mayo-14;26691702
junio-14;31567799
julio-14;37641540
agosto-14;42991384
septiembre-14;33858937
octubre-14;26243441
noviembre-14;15113125
diciembre-14;14041916
enero-15;13342087
febrero-15;14513335
marzo-15;18596568
abril-15;23087381
mayo-15;28041622
junio-15;32092513
julio-15;39850064
agosto-15;44813404
septiembre-15;34918861
octubre-15;28073790
noviembre-15;15862738
diciembre-15;15043365
enero-16;14470851
febrero-16;16315716
marzo-16;21877829
abril-16;23387155
mayo-16;30813666
junio-16;34952632
julio-16;42777182
agosto-16;46492618
septiembre-16;36647654
octubre-16;29896141
noviembre-16;16767874
diciembre-16;15668216
