Fecha;Ventas total España;Álava;Albacete;Alicante / Alacant;Almería;Ávila;Badajoz;Balears (Illes);Barcelona;Burgos;Cáceres;Cádiz;Castellón / Castelló;Ciudad Real;Córdoba;Coruña (A);Cuenca;Girona;Granada;Guadalajara;Guipúzcoa;Huelva;Huesca;Jaén;León;Lleida;Rioja (La);Lugo;Madrid;Málaga;Murcia;Navarra;Ourense;Asturias;Palencia;Pontevedra;Salamanca;Cantabria;Segovia;Sevilla;Soria;Tarragona;Teruel;Toledo;Valencia / València;Valladolid;Vizcaya;Zamora;Zaragoza;Ceuta;Melilla;Num. días laborables;Pernoctaciones;Tasa de paro;Average price
enero-13;202371468,00;1382405,00;1892888,00;8977432,00;3348977,00;739817,00;3204705,00;5121787,00;24121494,00;1937833,00;1889682,00;3043104,00;2486790,00;2285962,00;3013316,00;5120014,00;1011700,00;5950016,00;4136936,00;1070213,00;4614627,00;2299175,00;1226375,00;2959486,00;2303515,00;2572678,00;1598483,00;1524584,00;28493632,00;5699952,00;7333985,00;3987875,00;1568872,00;5599705,00;848614,00;3689096,00;1637274,00;2804718,00;673382,00;6185483,00;408730,00;3668885,00;616199,00;3104443,00;11946429,00;2473038,00;5212879,00;886906,00;4824186,00;451776,00;421415,00;26;11887105,00;26,94;4,27
febrero-13;162786803,00;997075,00;1417429,00;7429656,00;2621615,00;575974,00;2743718,00;4099628,00;18966380,00;1180141,00;1667345,00;2535068,00;1965906,00;2010602,00;2293259,00;4194211,00;730011,00;5777983,00;3342299,00;940517,00;3666752,00;1779845,00;970448,00;2347983,00;1787909,00;2163205,00;1061502,00;1168643,00;24039315,00;4615859,00;5789190,00;3469158,00;1102411,00;4163235,00;602414,00;3111812,00;1087727,00;2230094,00;537416,00;4769017,00;288881,00;2618457,00;484729,00;2628834,00;9867609,00;1749442,00;4268367,00;613615,00;3662865,00;387486,00;263766,00;24;13104722,00;26,94;4,27
marzo-13;180822109,00;1006504,00;1678784,00;9480914,00;3067251,00;690445,00;2938294,00;4637585,00;20985959,00;1327280,00;1814907,00;2667581,00;2556515,00;2178430,00;2815062,00;4084376,00;914541,00;7018997,00;3759140,00;938084,00;4377680,00;2093192,00;1168078,00;2726702,00;1910890,00;2733539,00;1235916,00;1238112,00;24098143,00;5507254,00;6615741,00;3628527,00;1125253,00;4506020,00;627195,00;3112718,00;1210259,00;2477734,00;560010,00;5440896,00;348826,00;3325046,00;544362,00;2703353,00;11601365,00;1817561,00;4244640,00;707596,00;3834959,00;441076,00;298817,00;25;18815829,00;26,94;4,27
abril-13;197087313,00;1320816,00;1721949,00;9535035,00;3305837,00;733651,00;3236650,00;6437172,00;21458866,00;1449549,00;1971685,00;2791470,00;2331420,00;2338875,00;2742236,00;4959650,00;921082,00;8026100,00;3918164,00;1036536,00;4994496,00;2319725,00;1208068,00;2784434,00;2079609,00;2577178,00;1387107,00;1383939,00;27772047,00;5936348,00;7058996,00;4347034,00;1350855,00;5075809,00;736093,00;3724776,00;1329867,00;2753905,00;598920,00;5916323,00;375029,00;3317319,00;634291,00;2971069,00;10941842,00;2149974,00;4984735,00;761785,00;4567443,00;436883,00;374671,00;26;19135958,00;26,06;4,27
mayo-13;233796351,00;1756647,00;1845978,00;11975003,00;3698202,00;830567,00;3730316,00;9877391,00;25861473,00;1970297,00;2386742,00;3084344,00;2760351,00;2707572,00;3340565,00;5307172,00;1131614,00;10539827,00;4597061,00;1141205,00;6189103,00;2692722,00;1243669,00;3322998,00;2487948,00;3434549,00;1609825,00;1589004,00;30665831,00;7615963,00;7872441,00;5911076,00;1464817,00;5495104,00;993558,00;3957562,00;1944465,00;2888305,00;754821,00;6348695,00;455680,00;4422528,00;659992,00;3500658,00;12296754,00;2837508,00;5714470,00;936025,00;5019771,00;489732,00;438450,00;26;26359256,00;26,06;4,27
junio-13;191912479,00;1181266,00;1726569,00;9926788,00;3273606,00;727668,00;2917287,00;9374569,00;20633813,00;1466810,00;1859794,00;2900902,00;2484469,00;2167860,00;2652559,00;4461496,00;972215,00;8266928,00;3738844,00;1039890,00;4047427,00;2355548,00;1138401,00;2614068,00;2102207,00;1850900,00;1283674,00;1313481,00;25729276,00;5943436,00;6700579,00;3947166,00;1300037,00;4754738,00;761227,00;3420994,00;1247116,00;2572569,00;582409,00;5290971,00;446169,00;3837891,00;665497,00;2777275,00;10946434,00;2009994,00;4624055,00;762269,00;4295329,00;453115,00;364894,00;25;30808604,00;26,06;4,27
julio-13;235577108,00;1426079,00;1952587,00;12468939,00;3870067,00;1025174,00;3591357,00;10988614,00;25412995,00;2077665,00;2319300,00;3863772,00;3340375,00;2714565,00;3025409,00;5688928,00;1256593,00;12472816,00;4479597,00;1275830,00;5802866,00;2943555,00;1688526,00;3349423,00;2715267,00;2839616,00;1641547,00;1699155,00;27895123,00;7205489,00;8086137,00;4860008,00;1642348,00;5971487,00;913410,00;4397916,00;1620187,00;3544124,00;845326,00;5620638,00;495307,00;5351599,00;767132,00;3380587,00;12799465,00;2378823,00;5155746,00;935592,00;4820074,00;534835,00;425138,00;27;37670863,00;25,65;4,37
agosto-13;223221646,00;953267,00;1936913,00;11998982,00;4067028,00;1152001,00;3551301,00;10455285,00;20589790,00;1599205,00;2407479,00;4058310,00;3465048,00;2688017,00;2723295,00;5372869,00;1313428,00;16916317,00;4364304,00;1263780,00;6126113,00;2937123,00;1852816,00;2981500,00;2646854,00;2772479,00;1482452,00;1621534,00;22446220,00;7495009,00;7564091,00;5325106,00;1550073,00;5536478,00;882770,00;4284112,00;1624385,00;3478001,00;863558,00;4794942,00;550900,00;5582511,00;854575,00;3257026,00;11596707,00;2117407,00;4069460,00;1028285,00;4195634,00;505421,00;321485,00;26;41900828,00;25,65;4,37
septiembre-13;202414192,00;1221005,00;1865971,00;11135435,00;3504530,00;814790,00;3363434,00;10131668,00;20939347,00;1554935,00;2044117,00;2954626,00;2629184,00;2578811,00;2883235,00;4858958,00;1053039,00;7546310,00;4014726,00;1158920,00;4292893,00;2243177,00;1153350,00;3029693,00;2164973,00;2401590,00;1355989,00;1413639,00;27340733,00;6506555,00;7069482,00;4012923,00;1334781,00;5056503,00;725525,00;3614004,00;1423339,00;2675704,00;669493,00;5612819,00;351390,00;3948051,00;666719,00;3066279,00;11160998,00;2164844,00;4666284,00;856141,00;4340571,00;432036,00;410673,00;25;32647844,00;25,65;4,37
octubre-13;200434139,00;1379615,00;1825156,00;10215720,00;3295800,00;777249,00;3137567,00;7113019,00;22689825,00;1576293,00;1947916,00;2650467,00;2427044,00;2423635,00;2684269,00;4867342,00;1017024,00;7444586,00;3863590,00;1082172,00;4662703,00;2162531,00;1291181,00;2829431,00;2196793,00;2492889,00;1468366,00;1472765,00;27536475,00;6381757,00;7359498,00;4328319,00;1382271,00;5157232,00;748554,00;3566958,00;1361542,00;2816890,00;652036,00;5698616,00;417980,00;3580827,00;647921,00;3025531,00;10925625,00;2261902,00;5129118,00;809053,00;4807955,00;474775,00;368356,00;26;25015770,00;25,73;4,37
noviembre-13;173253839,00;1194276,00;1556786,00;8297301,00;2912209,00;646557,00;2883563,00;4482848,00;19828416,00;1471613,00;1918445,00;2345723,00;2197346,00;2248672,00;2455938,00;4448841,00;902084,00;5991768,00;3470155,00;920479,00;3944094,00;1922207,00;1076618,00;2580041,00;1940138,00;2196272,00;1274922,00;1266814,00;24587973,00;4869015,00;6198313,00;3503280,00;1254116,00;4625056,00;668233,00;3232944,00;1349559,00;2402178,00;529026,00;5045235,00;399757,00;3097583,00;566320,00;2605827,00;9857397,00;2049196,00;4462563,00;739872,00;4103966,00;405750,00;326554,00;25;15087587,00;25,73;4,37
diciembre-13;181591178,00;1332674,00;1708135,00;7846316,00;3113298,00;722561,00;3146618,00;4204283,00;20248461,00;1665144,00;1800620,00;2563176,00;2274058,00;2256962,00;2716901,00;4629875,00;967955,00;6774246,00;3722796,00;972558,00;4145483,00;2134481,00;1060314,00;2998025,00;2162677,00;2707093,00;1309534,00;1366613,00;25395022,00;4896766,00;6543683,00;4129139,00;1300263,00;4826612,00;762380,00;3428900,00;1397043,00;2557573,00;591588,00;5231799,00;397466,00;2954199,00;580714,00;2852042,00;10531791,00;2208673,00;4736799,00;778564,00;4111025,00;460703,00;367577,00;24;13595795,00;25,73;4,37
enero-14;188023567,00;1323352,00;1705373,00;8602326,00;3099846,00;660324,00;3015316,00;4604359,00;22056865,00;1493379,00;1871518,00;2533996,00;2388859,00;2326110,00;2768750,00;4774077,00;952226,00;6625384,00;3877431,00;1037699,00;4400221,00;2103994,00;1132462,00;3073434,00;2090651,00;2454733,00;1357352,00;1401746,00;27228930,00;5119488,00;6788854,00;3607688,00;1373599,00;4955461,00;694918,00;3527482,00;1289387,00;2537996,00;568353,00;5353637,00;372821,00;3187278,00;567045,00;2840446,00;11120126,00;2312096,00;4987818,00;756552,00;4330108,00;424478,00;347223,00;25;12807505,00;25,93;4,37
febrero-14;156808432,00;1106483,00;1407170,00;7295856,00;2503934,00;571418,00;2535123,00;4040176,00;18001577,00;1194772,00;1555946,00;2134918,00;1992940,00;1893454,00;2228947,00;3847214,00;779601,00;5558656,00;3128060,00;890108,00;3733327,00;1639113,00;1035652,00;2403656,00;1734361,00;2397709,00;1088813,00;1145356,00;22783508,00;4321833,00;5565393,00;3392598,00;1094593,00;4166201,00;593923,00;2820203,00;1059757,00;2194333,00;513868,00;4225044,00;297406,00;2613478,00;530378,00;2364644,00;9569226,00;1756565,00;4123550,00;574659,00;3739749,00;376070,00;287113,00;24;13875208,00;25,93;4,37
marzo-14;181318270,00;1217297,00;1564134,00;8758525,00;3067377,00;674029,00;2843147,00;4896775,00;20663637,00;1382695,00;1771781,00;2526161,00;2273143,00;2182045,00;2768908,00;4425123,00;868907,00;6675322,00;3810565,00;976413,00;4235272,00;2121414,00;1129562,00;3016209,00;1978610,00;2288132,00;1305057,00;1337871,00;25498314,00;5339343,00;6308458,00;3922085,00;1233491,00;4614844,00;707408,00;3322314,00;1253607,00;2433250,00;559788,00;5209059,00;354237,00;3163852,00;520674,00;2694811,00;11290080,00;1924958,00;4589165,00;733557,00;4152709,00;418221,00;315934,00;26;18129451,00;25,93;4,37
abril-14;194093216,00;1179311,00;1711077,00;9932962,00;3180513,00;810457,00;3239279,00;6395714,00;21153872,00;1532710,00;2054619,00;2737085,00;2528879,00;2409430,00;2850017,00;4601359,00;1024884,00;8410972,00;3840688,00;1089791,00;4543668,00;2218497,00;1165527,00;2954046,00;2104410,00;2482587,00;1426769,00;1325225,00;26085517,00;5816776,00;7106892,00;4177508,00;1270583,00;4879440,00;754541,00;3403746,00;1339380,00;2813800,00;666789,00;5579127,00;393450,00;3665155,00;627090,00;3037535,00;10865909,00;2163491,00;4539789,00;800611,00;4342514,00;475709,00;383516,00;25;22298622,00;24,47;4,37
mayo-14;205476194,00;1231036,00;1779967,00;10542013,00;3450664,00;683279,00;3197525,00;9121944,00;22760855,00;1626296,00;2094316,00;2822575,00;2472662,00;2385296,00;3015996,00;4818999,00;1013011,00;9280834,00;4153070,00;1075811,00;4757236,00;2385424,00;1214929,00;3063465,00;2130551,00;2454753,00;1377656,00;1390194,00;27286919,00;6794273,00;7133449,00;4518654,00;1324237,00;4906875,00;725482,00;3601036,00;1332598,00;2619151,00;615630,00;5524876,00;401329,00;3941361,00;631708,00;3037581,00;11575451,00;2243077,00;4836129,00;801117,00;4549896,00;435755,00;339253,00;26;26691702,00;24,47;4,37
junio-14;215585503,00;1454513,00;1861876,00;11099614,00;3373204,00;810749,00;3200113,00;10844773,00;22851981,00;1838726,00;2042951,00;3265623,00;2834802,00;2440971,00;2874853,00;4943228,00;1104442,00;9392752,00;4112465,00;1113537,00;5152799,00;2534374,00;1165940,00;3086112,00;2306043,00;2640711,00;1449079,00;1523056,00;28538375,00;6853119,00;7118467,00;4584530,00;1391817,00;5346137,00;942209,00;3671506,00;1661548,00;2790055,00;722752,00;5731525,00;457274,00;4432747,00;695511,00;3272977,00;11886450,00;2396996,00;5127279,00;837109,00;4967320,00;471760,00;368753,00;25;31567799,00;24,47;4,37
julio-14;228344647,00;1400368,00;1988204,00;11760401,00;3900673,00;987368,00;3539248,00;10417963,00;24897374,00;1788077,00;2296513,00;3891799,00;3201088,00;2665209,00;2902708,00;5423769,00;1180159,00;12871313,00;4298643,00;1254254,00;5408035,00;2853911,00;1619433,00;3132190,00;2424579,00;2836634,00;1609653,00;1560576,00;26630838,00;7748206,00;7974808,00;4892988,00;1492330,00;5405313,00;803834,00;4140874,00;1496826,00;3453821,00;721143,00;5558554,00;472343,00;5002297,00;766066,00;3310912,00;12879220,00;2301361,00;4964420,00;950205,00;4445769,00;462208,00;360169,00;27;37641540,00;23,67;4,42
agosto-14;213018133,00;954040,00;1894002,00;11898115,00;3856905,00;1098108,00;3279100,00;10284201,00;19456046,00;1706096,00;2340854,00;3826261,00;3364358,00;2578554,00;2606991,00;5229376,00;1266472,00;15452726,00;4115660,00;1169287,00;5593425,00;2766734,00;1603863,00;2942435,00;2482470,00;2683754,00;1427380,00;1585087,00;21269833,00;7504015,00;7103178,00;5013254,00;1521699,00;5225226,00;842840,00;4205457,00;1610045,00;3183878,00;852378,00;4445247,00;491219,00;5458407,00;784733,00;3133390,00;11106119,00;2130510,00;3832824,00;977889,00;3930475,00;532512,00;400705,00;25;42991384,00;23,67;4,42
septiembre-14;207301377,00;1325829,00;2017803,00;10775399,00;3502210,00;800669,00;3279101,00;10506089,00;22013150,00;1522050,00;2006609,00;3042320,00;2676433,00;2507029,00;2798238,00;4939269,00;1037252,00;8285023,00;4089708,00;1160658,00;4718534,00;2297680,00;1254797,00;2896966,00;2152307,00;2376882,00;1484561,00;1434975,00;27228518,00;7056898,00;7154256,00;4024780,00;1364371,00;5083749,00;745199,00;3772970,00;1384021,00;2871674,00;648956,00;5623010,00;392954,00;4104116,00;674202,00;3066115,00;11729760,00;2179478,00;4888829,00;813672,00;4769081,00;441218,00;382009,00;26;33858937,00;23,67;4,42
octubre-14;198818843,00;1340624,00;1761008,00;10455334,00;3305866,00;739618,00;3091267,00;7005416,00;23139798,00;1540319,00;1876555,00;2715524,00;2433873,00;2284786,00;2791195,00;4929794,00;1036952,00;7160298,00;3946082,00;1008173,00;4493154,00;2166399,00;1254670,00;2851726,00;2141971,00;2709032,00;1429937,00;1459016,00;26886224,00;6696019,00;6977767,00;4114900,00;1394847,00;5029554,00;775160,00;3656861,00;1350837,00;2771118,00;648767,00;5613392,00;414436,00;3613704,00;633565,00;2752506,00;11084508,00;2126674,00;5036420,00;800891,00;4483771,00;503554,00;384981,00;27;26243441,00;23,70;4,42
noviembre-14;168631721,00;1119088,00;1512011,00;7994572,00;2770460,00;631291,00;2734105,00;4322974,00;19308420,00;1443331,00;1753196,00;2357466,00;2189370,00;2050534,00;2370824,00;4195302,00;827388,00;6092732,00;3437379,00;963170,00;3752869,00;1889185,00;1002734,00;2504678,00;1900425,00;2283586,00;1263018,00;1246796,00;23845592,00;4948321,00;5899731,00;3467882,00;1174830,00;4340371,00;648578,00;3235256,00;1196559,00;2337782,00;556770,00;4911209,00;373785,00;2906369,00;531371,00;2547338,00;10013024,00;2008937,00;4315845,00;704009,00;4012827,00;409976,00;328455,00;24;15113125,00;23,70;4,42
diciembre-14;192248424,00;1343396,00;1724501,00;8485958,00;3315668,00;703017,00;3219890,00;4630851,00;21629153,00;1599567,00;2010679,00;2829313,00;2537007,00;2447242,00;2910209,00;4867684,00;991822,00;6928541,00;4069515,00;1015571,00;4505924,00;2191245,00;1124390,00;3072735,00;2146067,00;2702801,00;1417280,00;1407327,00;26893365,00;5505928,00;7025511,00;4060527,00;1401142,00;4995111,00;776073,00;3641589,00;1426415,00;2721929,00;605751,00;5594481,00;395604,00;3153822,00;611180,00;3083055,00;11170909,00;2120134,00;5100047,00;755539,00;4512380,00;497888,00;372691,00;24;14041916,00;23,70;4,42
enero-15;181376955,00;1400965,00;1689282,00;8445966,00;3001933,00;679378,00;2932789,00;4354250,00;21061644,00;1632269,00;1775352,00;2573429,00;2335801,00;2142922,00;2653175,00;4665562,00;935136,00;5617464,00;3855759,00;990146,00;3961557,00;2017490,00;1079154,00;2888072,00;2065893,00;2159912,00;1332879,00;1410837,00;25732724,00;5382655,00;6516671,00;3704426,00;1302006,00;4719750,00;812312,00;3464317,00;1444075,00;2500882,00;581850,00;5159172,00;346423,00;3313577,00;597389,00;2731604,00;10884906,00;2192707,00;4665826,00;757990,00;4099048,00;442018,00;365611,00;25;13342087,00;23,78;4,46
febrero-15;148167287,00;931973,00;1370353,00;6851688,00;2568042,00;535348,00;2391896,00;3830606,00;17091831,00;1044334,00;1460099,00;2225008,00;2004904,00;1766741,00;2212417,00;3820289,00;708237,00;5105336,00;3131689,00;804240,00;3204009,00;1738626,00;854738,00;2268697,00;1563873,00;1971089,00;1078310,00;1025399,00;21079334,00;4641049,00;5489397,00;2863567,00;1032963,00;3913075,00;569927,00;2844691,00;1050855,00;2080322,00;470678,00;4383940,00;280057,00;2457832,00;467890,00;2182334,00;8589718,00;1626314,00;3889295,00;606290,00;3410918,00;364307,00;312762,00;24;14513335,00;23,78;4,46
marzo-15;194100345,00;1330541,00;1790107,00;9653698,00;3215519,00;751946,00;3165091,00;5163959,00;21837573,00;1581603,00;1982654,00;2906688,00;2512280,00;2335519,00;2905258,00;4714194,00;983145,00;6781578,00;4091063,00;1065393,00;4378269,00;2250720,00;1218209,00;2955387,00;2128422,00;2404101,00;1438812,00;1399655,00;26635280,00;6173900,00;6943963,00;4284746,00;1309950,00;4918584,00;738635,00;3577549,00;1367338,00;2749751,00;634670,00;5869547,00;385450,00;3505430,00;630188,00;2904749,00;11462466,00;2153124,00;4785330,00;775349,00;4582575,00;446740,00;323647,00;26;18596568,00;23,78;4,46
abril-15;184748185,00;1202347,00;1645298,00;9285401,00;3050810,00;700288,00;2884566,00;6461011,00;20319709,00;1374434,00;1831316,00;2703376,00;2306056,00;2141935,00;2615615,00;4517647,00;932602,00;8014871,00;3793944,00;979920,00;4110772,00;2157494,00;1121312,00;2656167,00;1975316,00;2451493,00;1276554,00;1346085,00;24954234,00;6112224,00;6611553,00;3774907,00;1251217,00;4656813,00;680030,00;3500452,00;1151669,00;2551289,00;573559,00;5457084,00;349487,00;3340923,00;577797,00;2687916,00;10523026,00;2009778,00;4466384,00;706256,00;4107992,00;453960,00;393296,00;25;23087381,00;22,37;4,46
mayo-15;194228738,00;1163806,00;1620840,00;9982875,00;3166272,00;642480,00;2986334,00;8809501,00;21803499,00;1462231,00;1867420,00;2860840,00;2361279,00;2211521,00;2821163,00;4486370,00;907017,00;8785201,00;3872821,00;1047481,00;4499647,00;2407901,00;1148909,00;2733101,00;1998549,00;2397852,00;1369310,00;1303406,00;25682395,00;6694494,00;6684640,00;4138246,00;1223052,00;4650055,00;681406,00;3346487,00;1203818,00;2477031,00;600094,00;5494268,00;367895,00;3826387,00;585322,00;2730600,00;10675916,00;2072332,00;4626769,00;720135,00;4268669,00;422932,00;338169,00;25;28041622,00;22,37;4,46
junio-15;211391182,00;1376807,00;1897481,00;11015671,00;3434135,00;811526,00;3119534,00;10765363,00;23142458,00;1732922,00;2011965,00;3244112,00;2800789,00;2493916,00;2769000,00;4875745,00;1028224,00;8455706,00;4118935,00;1156690,00;4636589,00;2499892,00;1260579,00;2809933,00;2165537,00;2298769,00;1518281,00;1404236,00;28316337,00;7231955,00;7335479,00;4235921,00;1299067,00;4885558,00;791735,00;3752638,00;1427338,00;2871784,00;669980,00;5602495,00;436648,00;4304669,00;681681,00;3147892,00;11845589,00;2304230,00;5044848,00;790730,00;4701929,00;496160,00;371724,00;26;32092513,00;22,37;4,46
